facno;facnom;adresse;libelle
1;équipe de recherche debout;immense camarade;administration de façon à
2;en;approximativement;en face de membre titulaire
3;à l'encontre de;bzzz;plic
4;hors vlan;super membre titulaire;du moment que sur
5;hebdomadaire en dépit de;certes;vivace être
6;hors;si bien que bon chez;toujours loufoque ouf
7;en vérité faciliter aïe;à demi que;entre-temps ah
8;via;présidence proche de manière à ce que;si formuler
9;aussitôt que;frotter cot cot;exprès moyennant
10;plus sage;pour tchou tchouu y;mélancolique avex
