pubno;titre;theme;jhi_type;volume;jhi_date;apparition;editeur
1;assez mélancolique pourvu que;broum semer tellement;AS;22029;2023-12-04;également au-devant;groin groin dring
2;psitt;horrible ha parce que;T;25937;2023-12-04;alentour;sans que vouh atténuer
3;secouriste lectorat;coac coac;M;17740;2023-12-04;vers commis de cuisine;magnifique étant donné que lors de
4;douter;groin groin équipe;T;26825;2023-12-04;divinement étrangler;adversaire tant
5;après que hebdomadaire;tard;L;23350;2023-12-04;ronron;atténuer miaou
6;tantôt témoigner;plutôt aigre;P;31366;2023-12-04;clac;hi
7;taper sitôt que;commis justifier fourbe;PC;12308;2023-12-04;à défaut de  efficace insuffisamment;représenter mal
8;gravir puisque premièrement;percer réfléchir;T;8252;2023-12-04;à l'encontre de ailleurs quelque;comme commis suivant
9;membre à vie;plouf;P;26401;2023-12-04;convaincre à côté de actionnaire;efficace suggérer pin-pon
10;smack;contre;T;23346;2023-12-04;communauté étudiante oui;fonctionnaire pff touchant
